Loan_ID,Customer_ID,Loan_Type
LOAN_000218,CUST00065,Student Loan
LOAN_000219,CUST00065,Debt Consolidation Loan
LOAN_000220,CUST00065,Home Equity Loan
LOAN_000221,CUST00065,Debt Consolidation Loan
LOAN_000222,CUST00065,Payday Loan
LOAN_000223,CUST00066,Home Equity Loan
LOAN_000224,CUST00066,Credit-Builder Loan
LOAN_000225,CUST00066,Debt Consolidation Loan
LOAN_000226,CUST00066,Payday Loan
LOAN_000227,CUST00066,Home Equity Loan
LOAN_000228,CUST00067,Home Equity Loan
LOAN_000229,CUST00067,Mortgage Loan
LOAN_000230,CUST00067,Debt Consolidation Loan
LOAN_000231,CUST00067,Home Equity Loan
LOAN_000232,CUST00067,Personal Loan
LOAN_000233,CUST00067,Personal Loan
LOAN_000234,CUST00068,Not Specified
LOAN_000235,CUST00068,Payday Loan
LOAN_000236,CUST00068,Auto Loan
LOAN_000237,CUST00068,Home Equity Loan
LOAN_000238,CUST00069,Mortgage Loan
LOAN_000239,CUST00069,Student Loan
LOAN_000240,CUST00069,Not Specified
LOAN_000241,CUST00069,Mortgage Loan
LOAN_000242,CUST00070,Mortgage Loan
LOAN_000243,CUST00070,Auto Loan
LOAN_000244,CUST00070,Personal Loan
LOAN_000245,CUST00070,Student Loan
LOAN_000246,CUST00070,Home Equity Loan
LOAN_000247,CUST00070,Student Loan
LOAN_000248,CUST00071,Payday Loan
LOAN_000249,CUST00071,Not Specified
LOAN_000250,CUST00072,Auto Loan
LOAN_000251,CUST00072,Not Specified
LOAN_000252,CUST00072,Payday Loan
LOAN_000253,CUST00072,Mortgage Loan
LOAN_000254,CUST00072,Personal Loan
LOAN_000255,CUST00072,Payday Loan
LOAN_000256,CUST00072,Personal Loan
LOAN_000257,CUST00073,Home Equity Loan
LOAN_000258,CUST00073,Student Loan
LOAN_000259,CUST00074,Personal Loan
LOAN_000260,CUST00074,Payday Loan
LOAN_000261,CUST00074,Auto Loan
LOAN_000262,CUST00074,Debt Consolidation Loan
LOAN_000263,CUST00074,Debt Consolidation Loan
LOAN_000264,CUST00075,Auto Loan
LOAN_000265,CUST00077,No Loan
LOAN_000266,CUST00078,Student Loan
LOAN_000267,CUST00078,Auto Loan
LOAN_000268,CUST00078,Auto Loan
LOAN_000269,CUST00078,Payday Loan
LOAN_000270,CUST00079,Home Equity Loan
LOAN_000271,CUST00080,Payday Loan
LOAN_000272,CUST00080,Auto Loan
LOAN_000273,CUST00080,Credit-Builder Loan
LOAN_000274,CUST00080,Debt Consolidation Loan
LOAN_000275,CUST00080,Credit-Builder Loan
LOAN_000276,CUST00080,Auto Loan
LOAN_000277,CUST00080,Personal Loan
LOAN_000278,CUST00081,Student Loan
LOAN_000279,CUST00081,Auto Loan
LOAN_000280,CUST00082,Student Loan
LOAN_000281,CUST00083,Auto Loan
LOAN_000282,CUST00083,Auto Loan
LOAN_000283,CUST00083,Auto Loan
LOAN_000284,CUST00083,Personal Loan
LOAN_000285,CUST00084,Mortgage Loan
LOAN_000286,CUST00084,Mortgage Loan
LOAN_000287,CUST00085,Personal Loan
LOAN_000288,CUST00085,Payday Loan
LOAN_000289,CUST00085,Auto Loan
LOAN_000290,CUST00087,Mortgage Loan
LOAN_000291,CUST00087,Auto Loan
LOAN_000292,CUST00087,Not Specified
LOAN_000293,CUST00087,Student Loan
LOAN_000294,CUST00087,Payday Loan
LOAN_000295,CUST00088,Student Loan
LOAN_000296,CUST00088,Mortgage Loan
LOAN_000297,CUST00088,Not Specified
LOAN_000298,CUST00088,Not Specified
LOAN_000299,CUST00089,Home Equity Loan
LOAN_000300,CUST00089,Credit-Builder Loan
LOAN_000301,CUST00089,Student Loan
LOAN_000302,CUST00089,Personal Loan
LOAN_000303,CUST00090,No Loan
LOAN_000304,CUST00091,No Loan
LOAN_000305,CUST00092,No Loan
LOAN_000306,CUST00093,Student Loan
LOAN_000307,CUST00094,No Loan
LOAN_000308,CUST00095,Student Loan
LOAN_000309,CUST00095,Not Specified
LOAN_000310,CUST00095,Not Specified
LOAN_000311,CUST00095,Credit-Builder Loan
LOAN_000312,CUST00095,Student Loan
LOAN_000313,CUST00095,Mortgage Loan
LOAN_000314,CUST00095,Not Specified
LOAN_000315,CUST00095,Student Loan
LOAN_000316,CUST00096,Debt Consolidation Loan
LOAN_000317,CUST00096,Home Equity Loan
LOAN_000318,CUST00096,Auto Loan
LOAN_000319,CUST00096,Home Equity Loan
LOAN_000320,CUST00096,Debt Consolidation Loan
LOAN_000321,CUST00097,Personal Loan
LOAN_000322,CUST00097,Payday Loan
LOAN_000323,CUST00098,Student Loan
LOAN_000324,CUST00098,Debt Consolidation Loan
LOAN_000325,CUST00098,Credit-Builder Loan
LOAN_000326,CUST00098,Home Equity Loan
LOAN_000327,CUST00099,Personal Loan
LOAN_000328,CUST00099,Debt Consolidation Loan
LOAN_000329,CUST00099,Debt Consolidation Loan
LOAN_000330,CUST00099,Student Loan
LOAN_000331,CUST00100,Student Loan
LOAN_000332,CUST00100,Personal Loan
LOAN_000333,CUST00100,Home Equity Loan
LOAN_000334,CUST00100,Home Equity Loan
LOAN_000335,CUST00100,Auto Loan
LOAN_000336,CUST00101,Student Loan
LOAN_000337,CUST00102,Student Loan
LOAN_000338,CUST00102,Student Loan
LOAN_000339,CUST00102,Debt Consolidation Loan
LOAN_000340,CUST00102,Mortgage Loan
LOAN_000341,CUST00103,Auto Loan
LOAN_000342,CUST00103,Auto Loan
LOAN_000343,CUST00103,Student Loan
LOAN_000344,CUST00103,Home Equity Loan
LOAN_000345,CUST00104,Debt Consolidation Loan
LOAN_000346,CUST00105,Mortgage Loan
LOAN_000347,CUST00105,Student Loan
LOAN_000348,CUST00105,Student Loan
LOAN_000349,CUST00105,Payday Loan
LOAN_000350,CUST00105,Mortgage Loan
LOAN_000351,CUST00105,Debt Consolidation Loan
LOAN_000352,CUST00106,Not Specified
LOAN_000353,CUST00106,Debt Consolidation Loan
LOAN_000354,CUST00106,Home Equity Loan
LOAN_000355,CUST00106,Mortgage Loan
LOAN_000356,CUST00107,No Loan
LOAN_000357,CUST00108,Debt Consolidation Loan
LOAN_000358,CUST00108,Debt Consolidation Loan
LOAN_000359,CUST00108,Credit-Builder Loan
LOAN_000360,CUST00109,No Loan
LOAN_000361,CUST00110,Debt Consolidation Loan
LOAN_000362,CUST00111,Student Loan
LOAN_000363,CUST00111,Debt Consolidation Loan
LOAN_000364,CUST00111,Auto Loan
LOAN_000365,CUST00112,Mortgage Loan
LOAN_000366,CUST00112,Student Loan
LOAN_000367,CUST00112,Mortgage Loan
LOAN_000368,CUST00113,No Loan
LOAN_000369,CUST00114,Auto Loan
LOAN_000370,CUST00114,Auto Loan
LOAN_000371,CUST00114,Credit-Builder Loan
LOAN_000372,CUST00114,Not Specified
LOAN_000373,CUST00114,Not Specified
LOAN_000374,CUST00114,Not Specified
LOAN_000375,CUST00115,Auto Loan
LOAN_000376,CUST00115,Auto Loan
LOAN_000377,CUST00116,Payday Loan
LOAN_000378,CUST00116,Debt Consolidation Loan
LOAN_000379,CUST00117,Home Equity Loan
LOAN_000380,CUST00117,Credit-Builder Loan
LOAN_000381,CUST00117,Personal Loan
LOAN_000382,CUST00117,Not Specified
LOAN_000383,CUST00118,Mortgage Loan
LOAN_000384,CUST00118,Home Equity Loan
LOAN_000385,CUST00118,Personal Loan
LOAN_000386,CUST00118,Payday Loan
LOAN_000387,CUST00118,Not Specified
LOAN_000388,CUST00118,Student Loan
LOAN_000389,CUST00118,Payday Loan
LOAN_000390,CUST00118,Payday Loan
LOAN_000391,CUST00119,Payday Loan
LOAN_000392,CUST00119,Payday Loan
LOAN_000393,CUST00119,Not Specified
LOAN_000394,CUST00119,Student Loan
LOAN_000395,CUST00119,Mortgage Loan
LOAN_000396,CUST00119,Payday Loan
LOAN_000397,CUST00119,Mortgage Loan
LOAN_000398,CUST00119,Credit-Builder Loan
LOAN_000399,CUST00120,No Loan
LOAN_000400,CUST00121,Personal Loan
LOAN_000401,CUST00121,Student Loan
LOAN_000402,CUST00121,Payday Loan
LOAN_000403,CUST00121,Personal Loan
LOAN_000404,CUST00121,Not Specified
LOAN_000405,CUST00121,Not Specified
LOAN_000406,CUST00121,Mortgage Loan
LOAN_000407,CUST00121,Not Specified
LOAN_000408,CUST00121,Home Equity Loan
LOAN_000409,CUST00122,Debt Consolidation Loan
LOAN_000410,CUST00122,Credit-Builder Loan
LOAN_000411,CUST00122,Credit-Builder Loan
LOAN_000412,CUST00122,Personal Loan
LOAN_000413,CUST00122,Not Specified
LOAN_000414,CUST00124,No Loan
LOAN_000415,CUST00125,Debt Consolidation Loan
LOAN_000416,CUST00125,Auto Loan
LOAN_000417,CUST00126,Not Specified
LOAN_000418,CUST00126,Student Loan
LOAN_000419,CUST00126,Auto Loan
LOAN_000420,CUST00126,Payday Loan
LOAN_000421,CUST00126,Auto Loan
LOAN_000422,CUST00128,Home Equity Loan
LOAN_000423,CUST00128,Student Loan
LOAN_000424,CUST00129,Home Equity Loan
LOAN_000425,CUST00129,Mortgage Loan
LOAN_000426,CUST00129,Credit-Builder Loan
LOAN_000427,CUST00129,Debt Consolidation Loan
LOAN_000428,CUST00130,Home Equity Loan
LOAN_000429,CUST00130,Debt Consolidation Loan
LOAN_000430,CUST00130,Personal Loan
LOAN_000431,CUST00130,Payday Loan
LOAN_000432,CUST00131,Not Specified
LOAN_000433,CUST00131,Payday Loan
LOAN_000434,CUST00131,Payday Loan
LOAN_000435,CUST00131,Debt Consolidation Loan
LOAN_000436,CUST00132,Payday Loan
LOAN_000437,CUST00132,Not Specified
LOAN_000438,CUST00132,Mortgage Loan
LOAN_000439,CUST00133,Mortgage Loan
LOAN_000440,CUST00133,Mortgage Loan
LOAN_000441,CUST00133,Not Specified
LOAN_000442,CUST00133,Personal Loan
LOAN_000443,CUST00133,Credit-Builder Loan
LOAN_000444,CUST00133,Debt Consolidation Loan
LOAN_000445,CUST00134,Not Specified
LOAN_000446,CUST00134,Student Loan
LOAN_000447,CUST00134,Home Equity Loan
LOAN_000448,CUST00134,Personal Loan
LOAN_000449,CUST00134,Personal Loan
LOAN_000450,CUST00135,Auto Loan
LOAN_000451,CUST00135,Credit-Builder Loan
LOAN_000452,CUST00136,Credit-Builder Loan
LOAN_000453,CUST00136,Debt Consolidation Loan
LOAN_000454,CUST00136,Payday Loan
LOAN_000455,CUST00136,Personal Loan
LOAN_000456,CUST00136,Not Specified
LOAN_000457,CUST00136,Payday Loan
LOAN_000458,CUST00137,Personal Loan
LOAN_000459,CUST00137,Home Equity Loan
LOAN_000460,CUST00137,Debt Consolidation Loan
LOAN_000461,CUST00138,Personal Loan
LOAN_000462,CUST00139,Not Specified
LOAN_000463,CUST00139,Home Equity Loan
LOAN_000464,CUST00139,Home Equity Loan
LOAN_000465,CUST00140,Student Loan
LOAN_000466,CUST00140,Home Equity Loan
LOAN_000467,CUST00140,Not Specified
LOAN_000468,CUST00140,Credit-Builder Loan
LOAN_000469,CUST00141,Credit-Builder Loan
LOAN_000470,CUST00141,Auto Loan
LOAN_000471,CUST00141,Student Loan
LOAN_000472,CUST00141,Student Loan
LOAN_000473,CUST00141,Personal Loan
LOAN_000474,CUST00141,Personal Loan
LOAN_000475,CUST00141,Auto Loan
LOAN_000476,CUST00142,Credit-Builder Loan
LOAN_000477,CUST00143,No Loan
LOAN_000478,CUST00144,Student Loan
LOAN_000479,CUST00144,Not Specified
LOAN_000480,CUST00145,Not Specified
LOAN_000481,CUST00145,Not Specified
LOAN_000482,CUST00145,Not Specified
LOAN_000483,CUST00145,Mortgage Loan
LOAN_000484,CUST00145,Student Loan
LOAN_000485,CUST00145,Auto Loan
LOAN_000486,CUST00146,Home Equity Loan
LOAN_000487,CUST00146,Auto Loan
LOAN_000488,CUST00146,Home Equity Loan
LOAN_000489,CUST00147,No Loan
LOAN_000490,CUST00148,Mortgage Loan
LOAN_000491,CUST00148,Payday Loan
LOAN_000492,CUST00148,Auto Loan
LOAN_000493,CUST00148,Not Specified
LOAN_000494,CUST00148,Credit-Builder Loan
LOAN_000495,CUST00148,Home Equity Loan
LOAN_000496,CUST00149,Home Equity Loan
LOAN_000497,CUST00149,Not Specified
LOAN_000498,CUST00150,Credit-Builder Loan
LOAN_000499,CUST00150,Auto Loan
LOAN_000500,CUST00150,Credit-Builder Loan
LOAN_000501,CUST00150,Student Loan
LOAN_000502,CUST00150,Personal Loan
LOAN_000503,CUST00150,Not Specified
LOAN_000504,CUST00150,Mortgage Loan
LOAN_000505,CUST00151,Payday Loan
LOAN_000506,CUST00152,Debt Consolidation Loan
LOAN_000507,CUST00152,Home Equity Loan
LOAN_000508,CUST00152,Student Loan
LOAN_000509,CUST00153,Credit-Builder Loan
LOAN_000510,CUST00153,Student Loan
LOAN_000511,CUST00153,Mortgage Loan
LOAN_000512,CUST00153,Mortgage Loan
LOAN_000513,CUST00154,Auto Loan
LOAN_000514,CUST00154,Student Loan
LOAN_000515,CUST00154,Student Loan
LOAN_000516,CUST00155,No Loan
LOAN_000517,CUST00156,Personal Loan
LOAN_000518,CUST00156,Payday Loan
LOAN_000519,CUST00156,Personal Loan
LOAN_000520,CUST00157,No Loan
LOAN_000521,CUST00158,Debt Consolidation Loan
LOAN_000522,CUST00158,Home Equity Loan
LOAN_000523,CUST00159,Not Specified
LOAN_000524,CUST00159,Student Loan
LOAN_000525,CUST00159,Not Specified
LOAN_000526,CUST00160,Personal Loan
LOAN_000527,CUST00160,Payday Loan
LOAN_000528,CUST00160,Student Loan
LOAN_000529,CUST00160,Not Specified
LOAN_000530,CUST00160,Not Specified
LOAN_000531,CUST00162,Home Equity Loan
LOAN_000532,CUST00162,Mortgage Loan
LOAN_000533,CUST00162,Credit-Builder Loan
LOAN_000534,CUST00162,Mortgage Loan
LOAN_000535,CUST00162,Student Loan
LOAN_000536,CUST00162,Student Loan
LOAN_000537,CUST00163,Home Equity Loan
LOAN_000538,CUST00163,Debt Consolidation Loan
LOAN_000539,CUST00163,Auto Loan
LOAN_000540,CUST00163,Debt Consolidation Loan
LOAN_000541,CUST00163,Payday Loan
LOAN_000542,CUST00163,Student Loan
LOAN_000543,CUST00163,Personal Loan
LOAN_000544,CUST00163,Payday Loan
LOAN_000545,CUST00163,Credit-Builder Loan
LOAN_000546,CUST00164,Mortgage Loan
LOAN_000547,CUST00164,Personal Loan
LOAN_000548,CUST00165,Mortgage Loan
LOAN_000549,CUST00165,Credit-Builder Loan
LOAN_000550,CUST00165,Student Loan
LOAN_000551,CUST00165,Debt Consolidation Loan
LOAN_000552,CUST00165,Mortgage Loan
LOAN_000553,CUST00165,Auto Loan
LOAN_000554,CUST00166,Mortgage Loan
LOAN_000555,CUST00166,Student Loan
LOAN_000556,CUST00168,Credit-Builder Loan
LOAN_000557,CUST00168,Personal Loan
LOAN_000558,CUST00168,Auto Loan
LOAN_000559,CUST00169,Student Loan
LOAN_000560,CUST00169,Mortgage Loan
LOAN_000561,CUST00170,Credit-Builder Loan
LOAN_000562,CUST00170,Home Equity Loan
LOAN_000563,CUST00170,Personal Loan
LOAN_000564,CUST00170,Auto Loan
LOAN_000565,CUST00170,Personal Loan
LOAN_000566,CUST00170,Auto Loan
LOAN_000567,CUST00170,Credit-Builder Loan
LOAN_000568,CUST00171,Home Equity Loan
LOAN_000569,CUST00171,Personal Loan
LOAN_000570,CUST00171,Credit-Builder Loan
LOAN_000571,CUST00171,Credit-Builder Loan
LOAN_000572,CUST00172,Not Specified
LOAN_000573,CUST00172,Credit-Builder Loan
LOAN_000574,CUST00172,Not Specified
LOAN_000575,CUST00172,Credit-Builder Loan
LOAN_000576,CUST00172,Auto Loan
LOAN_000577,CUST00172,Payday Loan
LOAN_000578,CUST00172,Mortgage Loan
LOAN_000579,CUST00172,Credit-Builder Loan
LOAN_000580,CUST00173,Student Loan
LOAN_000581,CUST00174,Home Equity Loan
LOAN_000582,CUST00174,Home Equity Loan
LOAN_000583,CUST00174,Payday Loan
LOAN_000584,CUST00174,Mortgage Loan
LOAN_000585,CUST00175,Personal Loan
LOAN_000586,CUST00175,Personal Loan
LOAN_000587,CUST00175,Personal Loan
LOAN_000588,CUST00175,Student Loan
LOAN_000589,CUST00176,Personal Loan
LOAN_000590,CUST00176,Home Equity Loan
LOAN_000591,CUST00176,Credit-Builder Loan
LOAN_000592,CUST00176,Not Specified
LOAN_000593,CUST00176,Home Equity Loan
LOAN_000594,CUST00176,Personal Loan
LOAN_000595,CUST00176,Personal Loan
LOAN_000596,CUST00177,Home Equity Loan
LOAN_000597,CUST00177,Personal Loan
LOAN_000598,CUST00177,Home Equity Loan
LOAN_000599,CUST00178,Payday Loan
LOAN_000600,CUST00178,Credit-Builder Loan
LOAN_000601,CUST00179,Payday Loan
LOAN_000602,CUST00179,Personal Loan
LOAN_000603,CUST00179,Payday Loan
LOAN_000604,CUST00179,Mortgage Loan
LOAN_000605,CUST00180,Student Loan
LOAN_000606,CUST00181,Credit-Builder Loan
LOAN_000607,CUST00181,Personal Loan
LOAN_000608,CUST00182,Student Loan
LOAN_000609,CUST00182,Credit-Builder Loan
LOAN_000610,CUST00182,Not Specified
LOAN_000611,CUST00183,Payday Loan
LOAN_000612,CUST00184,No Loan
LOAN_000613,CUST00185,Not Specified
LOAN_000614,CUST00185,Payday Loan
LOAN_000615,CUST00185,Home Equity Loan
LOAN_000616,CUST00185,Auto Loan
LOAN_000617,CUST00185,Home Equity Loan
LOAN_000618,CUST00185,Student Loan
LOAN_000619,CUST00185,Credit-Builder Loan
LOAN_000620,CUST00185,Personal Loan
LOAN_000621,CUST00186,Payday Loan
LOAN_000622,CUST00186,Home Equity Loan
LOAN_000623,CUST00186,Not Specified
LOAN_000624,CUST00186,Credit-Builder Loan
LOAN_000625,CUST00188,No Loan
LOAN_000626,CUST00189,Personal Loan
LOAN_000627,CUST00189,Auto Loan
LOAN_000628,CUST00189,Personal Loan
LOAN_000629,CUST00189,Home Equity Loan
LOAN_000630,CUST00189,Home Equity Loan
LOAN_000631,CUST00189,Debt Consolidation Loan
LOAN_000632,CUST00189,Credit-Builder Loan
LOAN_000633,CUST00190,Auto Loan
LOAN_000634,CUST00190,Payday Loan
LOAN_000635,CUST00190,Mortgage Loan
LOAN_000636,CUST00190,Student Loan
LOAN_000637,CUST00190,Mortgage Loan
