Account_ID,Customer_ID,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Credit_Mix
ACC_CUST00119,CUST00119,10,8,31,8,Bad
ACC_CUST00120,CUST00120,5,7,9,0,Good
ACC_CUST00121,CUST00121,8,10,25,9,Bad
ACC_CUST00122,CUST00122,8,5,15,5,Standard
ACC_CUST00124,CUST00124,2,6,2,0,Good
ACC_CUST00125,CUST00125,4,5,12,2,Standard
ACC_CUST00126,CUST00126,6,10,15,5,Standard
ACC_CUST00128,CUST00128,3,3,10,2,Good
ACC_CUST00129,CUST00129,3,7,18,4,Standard
ACC_CUST00130,CUST00130,1,6,6,4,Good
ACC_CUST00131,CUST00131,0,3,8,4,Good
ACC_CUST00132,CUST00132,10,7,18,3,Bad
ACC_CUST00133,CUST00133,5,8,33,6,Standard
ACC_CUST00134,CUST00134,3,6,5,5,Standard
ACC_CUST00135,CUST00135,3,4,14,2,Standard
ACC_CUST00136,CUST00136,7,4,14,6,Standard
ACC_CUST00137,CUST00137,4,3,20,3,Standard
ACC_CUST00138,CUST00138,3,5,16,1,Standard
ACC_CUST00139,CUST00139,6,5,10,3,Standard
ACC_CUST00140,CUST00140,8,4,20,4,Standard
ACC_CUST00141,CUST00141,7,9,20,7,Bad
ACC_CUST00142,CUST00142,3,7,6,1,Good
ACC_CUST00143,CUST00143,4,1,7,0,Good
ACC_CUST00144,CUST00144,3,5,15,2,Standard
ACC_CUST00145,CUST00145,6,5,20,6,Bad
ACC_CUST00146,CUST00146,0,1,11,3,Good
ACC_CUST00147,CUST00147,4,6,9,0,Standard
ACC_CUST00148,CUST00148,7,9,27,6,Standard
ACC_CUST00149,CUST00149,2,6,2,2,Good
ACC_CUST00150,CUST00150,8,7,24,7,Standard
ACC_CUST00151,CUST00151,3,3,15,1,Standard
ACC_CUST00152,CUST00152,8,5,6,3,Standard
ACC_CUST00153,CUST00153,1,4,1,4,Good
ACC_CUST00154,CUST00154,4,3,9,3,Good
ACC_CUST00155,CUST00155,3,5,2,0,Good
ACC_CUST00156,CUST00156,8,3,19,3,Standard
ACC_CUST00157,CUST00157,0,4,4,0,Good
ACC_CUST00158,CUST00158,7,4,6,2,Standard
ACC_CUST00159,CUST00159,3,7,2,3,Good
ACC_CUST00160,CUST00160,7,7,14,5,Standard
ACC_CUST00162,CUST00162,6,7,34,6,Bad
ACC_CUST00163,CUST00163,10,8,34,9,Bad
ACC_CUST00164,CUST00164,0,6,1,2,Good
ACC_CUST00165,CUST00165,7,8,28,6,Standard
ACC_CUST00166,CUST00166,1,7,3,2,Good
ACC_CUST00168,CUST00168,1,5,8,3,Good
ACC_CUST00169,CUST00169,8,3,14,2,Standard
ACC_CUST00170,CUST00170,10,10,21,7,Standard
ACC_CUST00171,CUST00171,8,4,15,4,Standard
ACC_CUST00172,CUST00172,8,6,29,8,Bad
ACC_CUST00173,CUST00173,8,5,13,1,Standard
ACC_CUST00174,CUST00174,3,4,11,4,Good
ACC_CUST00175,CUST00175,3,4,6,4,Good
ACC_CUST00176,CUST00176,8,6,32,7,Bad
ACC_CUST00177,CUST00177,6,3,18,3,Standard
ACC_CUST00178,CUST00178,8,4,7,2,Standard
ACC_CUST00179,CUST00179,4,4,5,4,Standard
ACC_CUST00180,CUST00180,1,6,8,1,Good
ACC_CUST00181,CUST00181,2,3,3,2,Good
ACC_CUST00182,CUST00182,2,5,5,3,Good
ACC_CUST00183,CUST00183,0,5,7,1,Good
ACC_CUST00184,CUST00184,5,7,20,0,Standard
ACC_CUST00185,CUST00185,6,9,27,8,Bad
ACC_CUST00186,CUST00186,8,3,10,4,Standard
ACC_CUST00188,CUST00188,8,4,6,0,Good
ACC_CUST00189,CUST00189,7,8,31,7,Bad
ACC_CUST00190,CUST00190,10,9,15,5,Bad
ACC_CUST00192,CUST00192,1,4,1,0,Good
ACC_CUST00193,CUST00193,4,3,18,5,Standard
ACC_CUST00194,CUST00194,4,6,6,0,Good
ACC_CUST00195,CUST00195,3,6,2,4,Good
ACC_CUST00196,CUST00196,1,5,12,2,Good
ACC_CUST00197,CUST00197,3,4,19,0,Standard
ACC_CUST00198,CUST00198,4,6,5,3,Standard
ACC_CUST00199,CUST00199,5,5,10,1,Good
ACC_CUST00200,CUST00200,4,7,2,4,Good
ACC_CUST00201,CUST00201,8,7,8,1,Good
ACC_CUST00202,CUST00202,6,3,9,4,Standard
ACC_CUST00203,CUST00203,6,7,26,8,Bad
ACC_CUST00204,CUST00204,8,6,16,4,Standard
ACC_CUST00205,CUST00205,8,6,13,1,Standard
ACC_CUST00206,CUST00206,3,4,8,2,Good
ACC_CUST00207,CUST00207,1,1,12,2,Good
ACC_CUST00208,CUST00208,1,4,5,3,Good
ACC_CUST00209,CUST00209,8,3,12,4,Standard
ACC_CUST00210,CUST00210,6,10,29,6,Standard
ACC_CUST00211,CUST00211,3,3,13,1,Standard
ACC_CUST00212,CUST00212,0,1,9,3,Good
ACC_CUST00213,CUST00213,8,10,29,6,Bad
ACC_CUST00214,CUST00214,7,9,16,2,Standard
ACC_CUST00215,CUST00215,7,9,31,6,Bad
ACC_CUST00216,CUST00216,6,6,5,1,Good
ACC_CUST00217,CUST00217,4,7,9,1,Good
ACC_CUST00218,CUST00218,8,6,30,7,Bad
ACC_CUST00219,CUST00219,7,5,24,2,Standard
ACC_CUST00221,CUST00221,6,8,31,6,Bad
ACC_CUST00222,CUST00222,3,5,5,1,Standard
ACC_CUST00223,CUST00223,4,5,6,3,Standard
ACC_CUST00225,CUST00225,6,9,23,7,Bad
ACC_CUST00226,CUST00226,4,4,28,6,Standard
ACC_CUST00227,CUST00227,0,4,8,1,Good
ACC_CUST00228,CUST00228,1,2,7,3,Good
ACC_CUST00229,CUST00229,5,6,10,2,Good
ACC_CUST00230,CUST00230,8,3,8,0,Standard
ACC_CUST00231,CUST00231,6,6,17,2,Standard
ACC_CUST00232,CUST00232,6,4,17,3,Standard
ACC_CUST00233,CUST00233,4,5,8,2,Good
ACC_CUST00234,CUST00234,6,4,20,2,Standard
ACC_CUST00235,CUST00235,8,8,22,5,Bad
ACC_CUST00236,CUST00236,6,7,16,7,Standard
ACC_CUST00237,CUST00237,5,3,11,4,Standard
ACC_CUST00238,CUST00238,6,3,14,3,Standard
ACC_CUST00239,CUST00239,8,4,18,4,Standard
ACC_CUST00240,CUST00240,3,7,12,3,Good
ACC_CUST00241,CUST00241,10,6,26,9,Bad
ACC_CUST00242,CUST00242,9,6,33,5,Bad
ACC_CUST00243,CUST00243,3,6,11,0,Standard
ACC_CUST00244,CUST00244,5,6,6,3,Standard
ACC_CUST00245,CUST00245,5,7,14,4,Standard
ACC_CUST00246,CUST00246,1,5,8,3,Good
ACC_CUST00247,CUST00247,0,2,3,4,Good
ACC_CUST00248,CUST00248,9,8,26,2,Standard
ACC_CUST00249,CUST00249,6,3,13,3,Standard
ACC_CUST00250,CUST00250,4,4,8,7,Standard
ACC_CUST00251,CUST00251,7,3,12,4,Standard
ACC_CUST00252,CUST00252,2,3,12,2,Good
ACC_CUST00253,CUST00253,8,4,4,1,Good
ACC_CUST00254,CUST00254,8,5,16,6,Bad
ACC_CUST00255,CUST00255,4,5,4,2,Good
ACC_CUST00256,CUST00256,2,3,5,4,Good
ACC_CUST00259,CUST00259,4,4,19,1,Standard
ACC_CUST00260,CUST00260,1,7,8,0,Good
ACC_CUST00261,CUST00261,5,3,3,2,Good
ACC_CUST00262,CUST00262,7,9,30,9,Bad
ACC_CUST00263,CUST00263,8,3,26,7,Standard
ACC_CUST00264,CUST00264,6,7,8,0,Good
ACC_CUST00266,CUST00266,2,7,1,0,Good
ACC_CUST00267,CUST00267,5,4,8,5,Standard
ACC_CUST00268,CUST00268,8,7,18,5,Bad
ACC_CUST00270,CUST00270,8,5,13,3,Standard
ACC_CUST00271,CUST00271,1,7,1,2,Good
ACC_CUST00272,CUST00272,8,10,34,6,Bad
ACC_CUST00273,CUST00273,6,5,28,6,Standard
ACC_CUST00274,CUST00274,3,4,3,4,Good
ACC_CUST00276,CUST00276,5,7,4,2,Good
ACC_CUST00277,CUST00277,3,5,16,1,Standard
ACC_CUST00278,CUST00278,1,5,3,4,Good
ACC_CUST00279,CUST00279,3,2,12,1,Good
ACC_CUST00280,CUST00280,8,5,18,9,Bad
ACC_CUST00281,CUST00281,7,8,23,2,Standard
ACC_CUST00282,CUST00282,8,7,22,7,Bad
ACC_CUST00283,CUST00283,8,7,29,9,Bad
ACC_CUST00284,CUST00284,8,5,8,4,Standard
ACC_CUST00285,CUST00285,4,2,3,1,Good
ACC_CUST00286,CUST00286,8,3,3,4,Good
ACC_CUST00287,CUST00287,6,3,4,4,Good
ACC_CUST00288,CUST00288,5,3,4,4,Good
ACC_CUST00289,CUST00289,10,5,18,7,Bad
ACC_CUST00290,CUST00290,7,9,27,6,Bad
ACC_CUST00291,CUST00291,5,7,6,4,Standard
ACC_CUST00292,CUST00292,10,6,16,6,Bad
ACC_CUST00293,CUST00293,4,5,8,4,Standard
ACC_CUST00294,CUST00294,5,4,5,1,Standard
ACC_CUST00295,CUST00295,2,6,6,4,Good
ACC_CUST00296,CUST00296,8,6,19,7,Standard
ACC_CUST00298,CUST00298,5,5,2,2,Good
ACC_CUST00299,CUST00299,8,4,7,2,Standard
ACC_CUST00300,CUST00300,9,6,34,5,Standard
ACC_CUST00301,CUST00301,5,3,9,0,Good
ACC_CUST00302,CUST00302,6,6,19,1,Standard
ACC_CUST00303,CUST00303,8,6,33,6,Bad
ACC_CUST00304,CUST00304,4,4,32,2,Standard
ACC_CUST00305,CUST00305,1,5,5,4,Good
ACC_CUST00306,CUST00306,8,7,28,8,Bad
ACC_CUST00307,CUST00307,8,5,21,8,Bad
ACC_CUST00308,CUST00308,9,5,32,7,Bad
ACC_CUST00309,CUST00309,3,6,7,2,Standard
ACC_CUST00310,CUST00310,8,10,28,8,Bad
ACC_CUST00311,CUST00311,4,6,6,3,Standard
ACC_CUST00312,CUST00312,7,5,32,8,Bad
ACC_CUST00313,CUST00313,3,6,12,0,Standard
ACC_CUST00315,CUST00315,6,4,20,3,Standard
ACC_CUST00316,CUST00316,9,7,23,6,Bad
ACC_CUST00317,CUST00317,4,4,6,0,Good
ACC_CUST00318,CUST00318,5,7,6,2,Good
ACC_CUST00319,CUST00319,0,5,11,1,Good
ACC_CUST00320,CUST00320,4,5,8,0,Good
ACC_CUST00321,CUST00321,8,5,1,4,Good
ACC_CUST00322,CUST00322,4,4,1,4,Good
ACC_CUST00323,CUST00323,3,6,17,1,Standard
ACC_CUST00324,CUST00324,6,6,19,9,Bad
ACC_CUST00325,CUST00325,4,6,18,2,Standard
ACC_CUST00326,CUST00326,8,6,12,3,Standard
ACC_CUST00327,CUST00327,6,5,19,9,Bad
ACC_CUST00328,CUST00328,5,6,7,2,Standard
ACC_CUST00329,CUST00329,9,7,24,8,Bad
ACC_CUST00330,CUST00330,5,4,12,2,Good
ACC_CUST00331,CUST00331,8,10,33,8,Bad
ACC_CUST00332,CUST00332,7,6,13,7,Standard
ACC_CUST00333,CUST00333,5,3,19,5,Standard
ACC_CUST00334,CUST00334,0,7,2,2,Good
ACC_CUST00336,CUST00336,5,1,9,1,Good
ACC_CUST00337,CUST00337,4,3,15,3,Standard
ACC_CUST00338,CUST00338,8,3,11,0,Standard
ACC_CUST00339,CUST00339,1,5,3,2,Good
ACC_CUST00340,CUST00340,8,7,5,2,Standard
ACC_CUST00341,CUST00341,3,1,5,2,Good
ACC_CUST00342,CUST00342,4,6,14,3,Standard
ACC_CUST00343,CUST00343,7,7,26,9,Bad
ACC_CUST00344,CUST00344,4,5,10,0,Standard
ACC_CUST00345,CUST00345,10,7,22,5,Bad
ACC_CUST00346,CUST00346,9,5,20,9,Bad
ACC_CUST00347,CUST00347,0,5,11,0,Good
ACC_CUST00348,CUST00348,4,7,12,6,Standard
ACC_CUST00349,CUST00349,3,3,19,0,Standard
ACC_CUST00350,CUST00350,4,7,7,0,Standard
ACC_CUST00351,CUST00351,8,7,22,6,Bad
ACC_CUST00352,CUST00352,4,7,14,4,Standard
ACC_CUST00353,CUST00353,3,5,4,1,Good
ACC_CUST00354,CUST00354,6,4,4,0,Good
ACC_CUST00355,CUST00355,4,3,10,1,Standard
ACC_CUST00356,CUST00356,6,6,30,4,Standard
ACC_CUST00357,CUST00357,4,4,13,1,Standard
ACC_CUST00358,CUST00358,9,8,23,3,Standard
ACC_CUST00359,CUST00359,6,5,29,6,Bad
ACC_CUST00361,CUST00361,10,6,26,4,Bad
ACC_CUST00362,CUST00362,0,4,1,2,Good
ACC_CUST00363,CUST00363,8,8,17,6,Bad
ACC_CUST00364,CUST00364,3,4,16,2,Standard
ACC_CUST00365,CUST00365,7,5,11,3,Standard
ACC_CUST00367,CUST00367,1,3,12,0,Good
ACC_CUST00368,CUST00368,7,4,20,2,Standard
ACC_CUST00369,CUST00369,6,6,11,1,Standard
ACC_CUST00370,CUST00370,6,5,11,2,Standard
ACC_CUST00371,CUST00371,5,3,12,4,Standard
ACC_CUST00372,CUST00372,5,6,18,4,Standard
ACC_CUST00373,CUST00373,6,8,19,5,Bad
ACC_CUST00374,CUST00374,1,3,4,0,Good
ACC_CUST00375,CUST00375,6,6,15,4,Standard
ACC_CUST00376,CUST00376,4,4,2,0,Good
ACC_CUST00377,CUST00377,5,3,5,0,Good
ACC_CUST00378,CUST00378,3,4,11,4,Standard
ACC_CUST00379,CUST00379,7,4,10,3,Standard
ACC_CUST00380,CUST00380,7,6,16,0,Standard
ACC_CUST00381,CUST00381,6,7,16,6,Bad
ACC_CUST00382,CUST00382,3,4,15,4,Standard
ACC_CUST00383,CUST00383,10,6,19,9,Bad
ACC_CUST00384,CUST00384,3,2,12,4,Good
ACC_CUST00385,CUST00385,8,8,27,9,Bad
ACC_CUST00386,CUST00386,3,3,10,4,Good
ACC_CUST00387,CUST00387,1,7,8,1,Good
ACC_CUST00388,CUST00388,8,5,21,3,Standard
ACC_CUST00389,CUST00389,9,7,16,8,Bad
ACC_CUST00390,CUST00390,0,4,10,2,Good
ACC_CUST00391,CUST00391,8,7,12,3,Standard
ACC_CUST00393,CUST00393,6,5,28,6,Standard
ACC_CUST00394,CUST00394,10,6,21,9,Bad
ACC_CUST00395,CUST00395,6,5,16,6,Standard
ACC_CUST00396,CUST00396,5,5,9,6,Standard
ACC_CUST00397,CUST00397,8,10,17,8,Bad
ACC_CUST00398,CUST00398,10,6,18,6,Bad
ACC_CUST00399,CUST00399,4,6,3,3,Good
ACC_CUST00400,CUST00400,8,6,9,3,Standard
ACC_CUST00401,CUST00401,8,9,27,2,Standard
ACC_CUST00402,CUST00402,6,9,22,8,Bad
ACC_CUST00403,CUST00403,1,4,10,0,Good
ACC_CUST00404,CUST00404,4,5,16,0,Standard
ACC_CUST00405,CUST00405,5,5,13,4,Standard
ACC_CUST00406,CUST00406,5,5,5,2,Standard
ACC_CUST00407,CUST00407,9,8,27,8,Bad
ACC_CUST00408,CUST00408,3,4,2,2,Good
ACC_CUST00409,CUST00409,2,3,3,0,Good
ACC_CUST00410,CUST00410,10,6,32,7,Bad
ACC_CUST00411,CUST00411,4,3,8,2,Standard
ACC_CUST00412,CUST00412,4,7,8,4,Good
ACC_CUST00413,CUST00413,4,6,15,2,Standard
ACC_CUST00414,CUST00414,8,9,17,7,Bad
ACC_CUST00415,CUST00415,5,6,13,2,Standard
ACC_CUST00416,CUST00416,7,4,9,5,Standard
ACC_CUST00417,CUST00417,6,9,26,3,Standard
ACC_CUST00418,CUST00418,5,2,3,3,Good
ACC_CUST00419,CUST00419,0,2,3,0,Good
ACC_CUST00421,CUST00421,4,4,9,1,Good
ACC_CUST00422,CUST00422,2,4,6,0,Good
ACC_CUST00423,CUST00423,8,3,9,3,Standard
ACC_CUST00424,CUST00424,2,6,8,2,Good
ACC_CUST00425,CUST00425,5,7,5,3,Standard
ACC_CUST00426,CUST00426,5,5,13,2,Standard
ACC_CUST00427,CUST00427,4,7,8,2,Standard
ACC_CUST00428,CUST00428,7,7,17,4,Standard
ACC_CUST00429,CUST00429,6,10,20,3,Standard
ACC_CUST00430,CUST00430,1,2,9,1,Good
ACC_CUST00431,CUST00431,1,5,5,4,Good
ACC_CUST00432,CUST00432,9,7,18,6,Bad
ACC_CUST00433,CUST00433,5,4,20,0,Standard
ACC_CUST00434,CUST00434,7,7,20,0,Standard
ACC_CUST00435,CUST00435,3,3,20,4,Standard
ACC_CUST00436,CUST00436,5,6,14,2,Standard
ACC_CUST00437,CUST00437,0,5,5,0,Good
ACC_CUST00438,CUST00438,1,6,1,1,Good
ACC_CUST00439,CUST00439,7,7,19,1,Standard
ACC_CUST00440,CUST00440,3,5,1,0,Good
ACC_CUST00441,CUST00441,6,5,29,3,Bad
ACC_CUST00442,CUST00442,3,3,8,5,Standard
ACC_CUST00443,CUST00443,3,6,7,4,Standard
ACC_CUST00444,CUST00444,2,6,4,3,Good
ACC_CUST00445,CUST00445,7,5,31,7,Standard
ACC_CUST00446,CUST00446,8,5,15,0,Standard
ACC_CUST00447,CUST00447,6,10,26,8,Bad
ACC_CUST00448,CUST00448,9,8,20,7,Bad
ACC_CUST00449,CUST00449,6,7,33,9,Bad
ACC_CUST00450,CUST00450,3,6,7,3,Standard
ACC_CUST00452,CUST00452,6,4,19,3,Standard
ACC_CUST00453,CUST00453,4,6,14,3,Standard
ACC_CUST00454,CUST00454,6,7,21,9,Bad
ACC_CUST00455,CUST00455,8,6,25,7,Bad
ACC_CUST00456,CUST00456,6,6,22,5,Bad
ACC_CUST00457,CUST00457,4,7,4,2,Good
ACC_CUST00458,CUST00458,6,9,23,5,Bad
ACC_CUST00459,CUST00459,3,3,17,1,Standard
ACC_CUST00460,CUST00460,8,5,7,0,Standard
ACC_CUST00461,CUST00461,8,6,11,7,Standard
ACC_CUST00462,CUST00462,7,8,27,6,Bad
ACC_CUST00463,CUST00463,2,6,2,0,Good
ACC_CUST00464,CUST00464,9,5,17,5,Bad
ACC_CUST00465,CUST00465,8,10,25,5,Bad
ACC_CUST00466,CUST00466,6,4,8,2,Standard
ACC_CUST00467,CUST00467,6,3,14,2,Standard
ACC_CUST00468,CUST00468,5,6,3,3,Good
ACC_CUST00469,CUST00469,3,7,3,2,Good
ACC_CUST00470,CUST00470,9,5,28,8,Bad
ACC_CUST00471,CUST00471,4,7,15,2,Standard
ACC_CUST00473,CUST00473,10,5,20,5,Bad
ACC_CUST00474,CUST00474,2,3,11,4,Good
ACC_CUST00475,CUST00475,6,7,15,0,Standard
ACC_CUST00476,CUST00476,5,3,18,1,Standard
ACC_CUST00477,CUST00477,10,8,22,9,Bad
ACC_CUST00479,CUST00479,2,3,8,0,Good
ACC_CUST00480,CUST00480,7,5,5,4,Standard
ACC_CUST00481,CUST00481,5,3,17,0,Standard
ACC_CUST00482,CUST00482,5,6,1,2,Good
ACC_CUST00483,CUST00483,9,10,15,5,Bad
ACC_CUST00484,CUST00484,7,9,31,6,Bad
ACC_CUST00485,CUST00485,8,3,6,2,Standard
ACC_CUST00486,CUST00486,2,7,12,4,Good
ACC_CUST00487,CUST00487,9,10,22,4,Standard
ACC_CUST00488,CUST00488,1,4,6,4,Good
ACC_CUST00489,CUST00489,6,4,18,3,Standard
ACC_CUST00490,CUST00490,6,5,10,6,Standard
ACC_CUST00491,CUST00491,8,3,18,4,Standard
ACC_CUST00492,CUST00492,4,5,14,1,Standard
ACC_CUST00493,CUST00493,8,6,11,3,Good
ACC_CUST00494,CUST00494,4,4,9,3,Standard
ACC_CUST00495,CUST00495,8,6,10,2,Standard
ACC_CUST00496,CUST00496,1,3,1,3,Good
ACC_CUST00498,CUST00498,6,3,9,3,Standard
ACC_CUST00499,CUST00499,5,7,6,3,Standard
ACC_CUST00500,CUST00500,2,5,8,1,Good
ACC_CUST00501,CUST00501,4,6,12,6,Standard
ACC_CUST00502,CUST00502,1,2,4,2,Good
ACC_CUST00503,CUST00503,2,5,8,1,Good
ACC_CUST00504,CUST00504,9,10,17,6,Bad
ACC_CUST00505,CUST00505,6,10,28,9,Bad
ACC_CUST00506,CUST00506,0,6,6,0,Good
ACC_CUST00507,CUST00507,7,7,24,2,Bad
ACC_CUST00508,CUST00508,7,6,28,6,Bad
ACC_CUST00509,CUST00509,10,6,21,6,Standard
ACC_CUST00510,CUST00510,7,9,26,3,Standard
ACC_CUST00511,CUST00511,4,5,5,3,Standard
ACC_CUST00513,CUST00513,3,6,2,1,Good
ACC_CUST00514,CUST00514,9,10,23,6,Bad
ACC_CUST00515,CUST00515,4,3,19,4,Standard
ACC_CUST00516,CUST00516,4,5,6,0,Good
ACC_CUST00517,CUST00517,6,6,19,2,Bad
ACC_CUST00518,CUST00518,10,7,28,6,Standard
ACC_CUST00519,CUST00519,4,3,10,2,Good
ACC_CUST00520,CUST00520,10,5,17,6,Bad
ACC_CUST00521,CUST00521,0,4,10,4,Good
ACC_CUST00522,CUST00522,4,6,6,4,Good
ACC_CUST00523,CUST00523,4,3,7,1,Good
ACC_CUST00524,CUST00524,3,6,7,0,Standard
ACC_CUST00526,CUST00526,0,7,10,2,Good
ACC_CUST00527,CUST00527,4,7,9,2,Standard
ACC_CUST00528,CUST00528,6,8,22,5,Bad
ACC_CUST00529,CUST00529,5,2,4,3,Good
ACC_CUST00530,CUST00530,3,6,19,3,Standard
ACC_CUST00531,CUST00531,5,5,11,4,Good
ACC_CUST00533,CUST00533,5,4,9,1,Good
ACC_CUST00535,CUST00535,8,6,15,2,Standard
